12 students arrested in May for protest in Busan jailed for up to five years,12-students-arrested-in-may-for-protest-in-busan-jailed-for-up-to-five-years,"Twelve students stormed the US Cultural Center, but they were overpowered by the police and charged with violence and obstructing official business.",Reuters,,,,
A British report detailing North/South relations,a-british-report-detailing-north-south-relations,"The UK compares North and South Korea economic figures. Previously, the North GDP per head was approximately two times that of the South GDP per hear. Now, the North GDP per head is estimated between $750-$2000 per head.",United Kingdom Foreign Secretary,,,British National Archives,
Ambassador Walker's Representations on Kim Kun Tae Torture Case,ambassador-walkers-representations-on-kim-kun-tae-torture-case,Cable from the United States Embassy in Soul outlining Ambassador Walker's meetings with the Prime Minister and Foreign Minister in which he raised the issue of Kim Kun Tae's torture. Kim was a student protester who was tortured by police after his arrest at anti-government protests. ,US Embassy Seoul,,United States,,
Anti Communist outcry of South Korean puppets over construction of Kumgangsan power station refuted,anti-communist-outcry-of-south-korean-puppets-over-construction-of-kumgangsan-power-station-refuted,"North Korean are upset by South Koreans complaints to international bodies regarding North Korean construction of a power plant, Kumgangsan in Gangwan-do. The North Koreans purport that this is a peaceful project that is bound to bring about economic prosperity to the North and prevent natural disaster in the South. To the North Koreans, South Koreaï¿½s complaints indicate a lack of sovereignty and national dignity.",DPRK Foreign Ministry,,,,
Cardinal Kim tells American DCM (Deputy Chief of Mission) He Backs Constitutional Revision ,cardinal-kim-tells-american-dcm-deputy-chief-of-mission-he-backs-constitutional-revision,"Original Summary: ""Cardinal Kim, a cautious and reliable political weather-vane, told DCM October 23 he is telling government leaders that the courageous step of amending the constitution is the only answer to looking political troubles. ",US EMbassy Seoul,,United States,,
Current Status of North Korea's Nuclear Program and its Proliferation Implications,current-status-of-north-koreas-nuclear-program-and-its-proliferation-implications,State Department report on North Koreaâ€™s nuclear weapons program.,INR,"<h5>Key Judgments</h5><p>-	North has undertaken several major nuclear projects. The one project we know the most about is the construction of a reactor at its research facility in Youngbyon.</p><p>-	we have no indication that any of the North Korean nuclear activities are related to a nuclear weapons program, but unsafeguard3ed nuclear fcailities in a region of tension is always a concern to us. </p><p>-	Regardless of the nature of the North Korean nuclear program, the ROKG can be expected to perceive this program as a threat to the South Korean national security.</p><p>-	REDACTED</p><p>-	REDACTED</p><p>-	The USG should continue to try to find ways to bring all North Korean nuclear activities under international safeguards. </p><h5>The North. Korean Threat</h5><p>-	REDACTED</p><h5>The North Korean Nuclear Program</h5><p>-	Intelligence on North Korea's nuclear program is sketchy. Until recently it was concluded that this program was limited to rudimentary basic research.</p><p>-	REDACTED</p><p>-	REDACTED</p><p>-	We do know that the USSR has an ongoing nuclear training program for North Korean nuclear scientists and technicians</p><p>-	REDACTED</p><p>-	The North Korean nuclear activities date back to 1956 when a number of North Koreans were sent to the USSR Joint Institute for Nuclear Research at Dubna. In 1962 the USSR began providing North Korea with technical assistance which included construction of a USSR reactor (SMWth) at Yongbyon. This reactor was placed under IAEA safeguards at the insistence of the USS. </p><p>[REMAINDER OF PAGE REDACTED]</p><h5>â€</h5>",United States,,
Description of Nuclear Discussions between U.S. Amb. Kennedy and the ROK Government,description-of-nuclear-discussions-between-u-s-amb-kennedy-and-the-rok-government,"On May 24, Amb. Kennedy met with Minister of Science and Technology Kim Sung Jin to discuss US Government efforts to bring DPRK reactor at Yongbyon under international safeguards. Amb. relayed that the US was attempting to do so, noting he had spoken to 'senior Soviet officials' and conveyed the US position that Yongbyon should be under such sanctions and the DPRK should sign the NPT. Soviets committed to requiring safeguards if the DPRK requested USSR assistance and would push for singing the NPT. ",US Embassy Seoul,,United States,,
Diplomatic Relations of Republic of Korea and Democratic People's Republic of Korea,diplomatic-relations-of-republic-of-korea-and-democratic-peoples-republic-of-korea,Report by USIS on Human Rights in ROK for 1984,Bureau of Intelligence and Research: U.S. Department of State,"<h1>Diplomatic Relations of Republic of Korea and Democratic People's Republic of Korea</h1><h2>Summary</h2><p>There have been several changes in the diplomatic relations of the Republic of Korea (ROK) Â·and the Democratic People's Republic of Korea(DPRK) in the past 2 l/2 years, &nbsp;the most notable of which occurred in the wake of the DPRK 1st bomb attack against President Chun's delegation visiting Rangoon in October 1983. As a result, the ROK continued to widen its margin over the DPRK in their diplomatic competition for increased international recognition and prestige, Changes since 1982 include:</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Four countries (Burma, Comoros, Costa Rica, and Western Samoa) broke relations with the DPRK as a result of the Rangoon bombing and now maintain relations only with the ROK.</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Three additional countries--Ireland (in 1983), St.Christopher-Nevis (in 1983), and Brunei (in 1984) -- recognized the ROK exclusively.</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Two other countries -- Guinea-Bissau (in 1984) and Pakistan (in 1983) --which had recognized only the PPRK, established relations with the ROK.</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Malawi, which had recognized only the ROK, established relations with the DPRK in 1982.</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lesotho â€œsuspendedâ€ its relations with the ROK in 19S3. It is unclear if Lesotho intended the suspension as the equivalent to a break in relations.</p><p>&nbsp;</p><p>I.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>&nbsp;The Problems</strong></p><p>o&nbsp;&nbsp;North Korea is in the process of re-deploying its forces southward, giving us even greater military warning and indications problems.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;The North is also constructing a nuclear reactor that could produce weapons-grade plutonium.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;Given the above activities, North Korean intentions in the recently renewed dialogue with south Korea remain unclear.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;We are uncertain also of how much support (or discouragement) the Soviets are giving to Pyongyang in furthering this dialogue, New proposals by North and South Korea would require major steps by their allies.</p><p>&nbsp;</p><p>II.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>The Facts</strong></p><p>o&nbsp;&nbsp;Since 1982 the North Koreans have been reorganizing their forces for greater mobility, and in 1984 a significant forward deployment of these forces began, greatly reducing our military warning and reaction time.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;Overhead photography has revealed the construction in North Korea of a nuclear reactor that could be used for the production of plutonium.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;A Soviet civilian recently defected to the south cross the DMZ, prompting the North Koreans to postpone North-South economic talks. The DPRK now has agreed to resume talks in January. The DPRK could again break off the talks during part or all of the 90-day period of â€¢Team Spirit,â€¢an annual joint US-ROK military exercise.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;North Korean motives and intentions are unclear,but the Chinese have been pressuring them to talk and, to emulate the Chinese economic opening to the West.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;North Korea, in a December 11 letter to you through the Chinese, repackaged its â€¢tripartite proposalâ€¢ of last year. We have consulted with Seoul and expect to give a response to the PRC Ambassador January 7.</p><p>&nbsp;</p><p>III.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>&nbsp;Our Response</strong></p><p>o&nbsp;&nbsp;On the North's nuclear reactor: we requested help from Western supplier nations in denying the DPRK sensitive nuclear materials. Their reactions were positive: responses from the PRC and USSR to the Â·same general request were less so. Ambassador Kennedy recently raised the matter again in Moscow; the Soviets this time asked for additional information (which we are providing) rather than their usual non-reply.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;We have been supportive of South Koreaâ€™s efforts to engage the North in bilateral talks. We are consulting closely with Seoul in framing a response to North Koreaâ€™s recent elaboration of its tripartite proposal.</p><p>&nbsp;</p><p>o&nbsp;&nbsp;Efforts by both sides to increase their representation are likely to intensify in the months leading to the 1988 Olympics, scheduled to be held in Seoul. Seoul seeks to broaden its relations with Third World and socialist-bloc countries, particularly members of the nonaligned-movement. Pyongyang, for its part, continues to concentrate on establishing relations with West European and Latin American and Caribbean states.</p><p>&nbsp;</p><p><em>*See the original document for a series of charts outlining ROK/DPRK diplomatic relations shifts during the 1970s and 1980s. </em></p><p>â€</p>",United States,United States Department of State: Freedom of Information Department,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla condimentum auctor orci in imperdiet. Nullam sit amet urna ut nulla convallis aliquet in ut lorem. Pellentesque orci leo, pharetra vel accumsan congue, elementum nec libero. Pellentesque nec odio ut tellus tristique sagittis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc vel vestibulum eros, posuere blandit tortor. Sed ullamcorper risus leo, eget vestibulum ipsum lacinia ultricies."
"DPRK letter proposing the discontinuation ""large-scale military exercises"" to arrange favourable circumstances for proposed dialogue",dprk-letter-proposing-the-discontinuation-large-scale-military-exercises-to-arrange-favourable-circumstances-for-proposed-dialogue,"The DPRK reiterated its efforts to reduce tensions on the peninsula and resume peace-talk with ROK, however its proposals were either ignored or refused by the US and ROK. Instead, the US and ROK pursued a policy of confrontation and continued joint military exercises. DPRK stated that peaceful talks could only continue with military dï¿½tente and called upon the US-ROK to end their policy of confrontation.",United Nations,,,,
DPRK letter to UNSC. DPRK responds to US and ROK claims that the DPRK is being unreasonable by arguing that the ROK and US are being unreasonable and refusing to negotiate under bogus pretexts because they do not desire peace,dprk-letter-to-unsc-dprk-responds-to-us-and-rok-claims-that-the-dprk-is-being-unreasonable-by-arguing-that-the-rok-and-us-are-being-unreasonable-and-refusing-to-negotiate-under-bogus-pretexts-because-they-do-not-desire-peace,"DPRK representatives sent a letter to the UN Secretary General refuting US claims that DPRK had not availed itself of opportunities to engage in existing inter-Korean dialogue forums. The letter listed multiple attempts by DPRK to send letters, multiple conciliations the DPRK undertook to try and receive a response, and the supposed semantic reasons for which the DPRK letters were ignored or sent back. Thus, the DPRK claimed, the US never intended for peace on the Korean peninsula and was committed to confrontation.",United Nations,,,,
Further explanation of Konkuk protests,further-explanation-of-konkuk-protests,"South Korean police delivered an ultimatum to student protestors who occupied five buildings at Kunkook university. The government would allow students who left the buildings to continue with their studies, but students who stayed would be arrested and expelled from their programs. Leaders of the protest were said to be conspiring with North Korea.",Reuters,,,,
In-depth State Department review of domestic ROK politics for Secretary Schultz's upcoming visit to the ROK,in-depth-state-department-review-of-domestic-rok-politics-for-secretary-schultzs-upcoming-visit-to-the-rok,"The US reports on internal political affairs in South Korea, particularly on the rising tension between President Chun and his political advisors. The US notes that President Chun remains largely unpopular and untrustworthy to the Korean public, and the opposition is determined to achieve constitutional change that allows direct elections and Chun completely giving up power. The US should continue to stress a solution that would satisfy the Korean people using democratic means but should be wary of appearing too influential or intervening.","United States Department of State, INR",,,United States Department of State,
INR assessment of the the domestic political outlook in the ROK for 1986,inr-assessment-of-the-the-domestic-political-outlook-in-the-rok-for-1986,"In an analysis of the political situation under leader Chun Doo Hwan, the United States lists the increasing potential of student and police clashes, slowing economic growth rates, hardline and isolated leadership, and differing opinions on Constitutional revision as reasons that the ROK could experience instability. If instability occurs, the North could move away from inter-Korean talks and re-escalate tensions. For the US, it will be harder to maintain a distant position from government/opposition conflicts and there will be an increased threat to bilateral ties and positive public opinion of the US.","United States Department of State, INR",,,United States Department of State,
INR Brief: Political and Eocnomic Situation in North Korea,inr-brief-political-and-eocnomic-situation-in-north-korea,"The timing of the leadership succession appears to be an important domestic political issue at present, which has been ongoing since early 1970s. INR assesses that Kim Jong Il has likely taken over 'day/to/day' shots on economic and domestic matters, while Kim Il Sung remains in control of foreign policy and inter/Korean issues. Also assesses that while there may be internal hardliner vs. moderate factions in the DPRK leadership, there is no information o the strength or degree of difference other than suggestion of internal disagreement following ""abrupt postponement "" of inter/Korean talks slated for January 1985. ","United States Department of State, INR",,United States,,
INR Brief re: ROK Domestic Political and Economic Situation in South Korea,inr-brief-re-rok-domestic-political-and-economic-situation-in-south-korea,"INR describes political situation going into 1986 as being shaped by ""confrontation between President Chun, supported by hard/liner advisers, and a wide spectrum of primarily urban society which is demanding liberalization of the political system."" Assessment reports that opposition is skeptical of Chun's promise to step down in 1988 and his refusal to alter the constitution before then. Failing to do so is seen by opposition as a step to ensure built/in advantages for ruling party remain into the 1988 election to prevent Kim Dae-jung from taking power as he is ""completely unacceptable to government and military leadership.""","United States Department of State, INR",,"United States Department of State, INR",,
INR Intelligence Brief: USSR/North Korea- Unusual Expressions of Mutual Support,inr-intelligence-brief-ussr-north-korea-unusual-expressions-of-mutual-support,"INR report on April meeting between Kim Yong Nam (FM) and Soviet General Secretary Gorbachev and Foreign Minister Gromyko. According to INR, the USSR endorsed a DPRK proposal for inter-Korean parliamentary talks in exchange for North Korea ""cooling toward"" Cambodian Prince Sihanouk. Two sides remained in disagreement over North Korean request for additional Soviet military assistance (including new aircraft) which would never be resolved. ","United States Department of State, INR",,United States,,
INR report on South Korean technology intensification and potential technology transfer to communist countries,inr-report-on-south-korean-technology-intensification-and-potential-technology-transfer-to-communist-countries,South Korea is continuing to develop technology industries in response to protectionist policies in traditional markets. South Koreans have also benefited from trade with Communist countries. This increased trade and technological development makes it important for the US to engage in discussions on strategic technology.,"United States Department of State, INR",,,,
"INR Report: ""South Korea: Economy in Transition""",inr-report-south-korea-economy-in-transition,"INR report on the state of South Korea's economy and ROKG aim to join the ranks of advanced industrial economies by the 1990s. Notes that Chun has supported liberalization of imports and foreign investment as well as moving away from emphasis on large companies (chaebols) in favor of small and medium companies. However ROK still faces challenges according to INR assessment, including a foreign debt of $43 billion ranking 4th among developing countries as well as protectionism and negative trends in the international economy. ","United States Department of State, INR",,United States,,
Letter from 32 NKDP Assemblymen to President Reagan urging him to be more forceful in the US push for democracy in order to contain anti-American feelings in the ROK,letter-from-32-nkdp-assemblymen-to-president-reagan-urging-him-to-be-more-forceful-in-the-us-push-for-democracy-in-order-to-contain-anti-american-feelings-in-the-rok,"Members of the National Assembly wrote to President Reagan denouncing comments made by Secretary Schultz as fueling anti-Americanism among the Korean public. The members called for the President to make a clear commitment to the democratic movement rather than President Chun. At the same time, the Members noted that US commitment to the democratization movement does not correspond to US intervention in internal affairs.",US Embassy Seoul,,,,
"Letter from Acting Assistant Secretary for Legislative and Intergovernmental affairs, James W. Dyer, to the Chairman of the House Committee on Foreign Affairs, Dante B. Fascell, on HCR 261",letter-from-acting-assistant-secretary-for-legislative-and-intergovernmental-affairs-james-w-dyer-to-the-chairman-of-the-house-committee-on-foreign-affairs-dante-b-fascell-on-hcr-261,"James W. Dyer responds to the House Concurrent Resolution 261, pointing out several reasons the tone and wording may be inappropriate. First, he finds problem with the proposal that foreign assistance be tied to democratization in ROK, because the foreign assistance is provided to ensure ROK is capable of defending against DPRK security threats. Furthermore, he states that the resolution could offend Koreans, as it may be perceived as a US effort to intervene or dictate Korean internal affairs.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
"Letter from Acting Assistant Secretary for Legislative and Intergovernmental affairs, James W. Dyer, to the Chairman of the Senate Committee on Foreign Relations, Richard G. Lugar, on SCR 100",letter-from-acting-assistant-secretary-for-legislative-and-intergovernmental-affairs-james-w-dyer-to-the-chairman-of-the-senate-committee-on-foreign-relations-richard-g-lugar-on-scr-100,"James W. Dyer responds to the Senate Concurrent Resolution 261, pointing out the same concerns about substance and tone that he found in the House Concurrent Resolution 261.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
Letter from Charge d'affaires of UN DPRK,letter-from-charge-daffaires-of-un-dprk,"The DPRK announced that the military had recently completed the building of an 8km dam, named the Nampo barrage. The DPRK stated that this was not only an example of the might of Korea Juche ideas, but also further proof that the DPRK was interested in building peace on the peninsula. The DPRK continued to state that it was waiting for the US and ROK to adopt similar peaceful measures and continue peaceful negotiations.",United Nations,,,,
Letter from Chun to Reagan,letter-from-chun-to-reagan,President Chun Doo Hwan thanks President Reagan for his congratulatory remarks and expresses interest in continuing to strengthen the US-ROK relationship.,Republic of Korea,,,,
Letter from DPRK Foreign Minister to the UN Secretary-General about Team Spirit 86.,letter-from-dprk-foreign-minister-to-the-un-secretary-general-about-team-spirit-86,"Kim Yong Nam, Minister of Foreign Affairs, requests the United Nations Secretary General to call upon the US and ROK forces to cancel a planned joint military exercise, ï¿½Team Spirit 86.ï¿½ Kim states that the US and ROK, by refusing to match DPRK commitments to halt military exercises, is escalating conflict on the Korean Peninsula and impeding peacebuilding efforts.",United Nations,,,United Nations Archives,
Letter from DPRK Ministry of Foreign Affairs to the President of the Security Council,letter-from-dprk-ministry-of-foreign-affairs-to-the-president-of-the-security-council,The DPRK representatives once again state that military exercises should be suspended in order to reduce tensions on the Korean Peninsula and allow for successful talks between North and South Korea. The DPRK announced that it will not conduct military exercises beginning in February and during any talks between the two sides. DPRK called upon the U.S and ROK to make similar announcements of suspension of joint military exercises.,United Nations,,,United Nations Archives,
Letter from President Chun to President Reagan ,letter-from-president-chun-to-president-reagan,Letter sent from Reagan to Chun Doo-hwan expressing his sentiment in the lead up to the US-Soviet Geneva Summit held in November 1985. Chun offered his support,Office of the President of the Republic of Korea,,South Korea,,
Letter from President Chun to President Reagan on his departure from the United States,letter-from-president-chun-to-president-reagan-on-his-departure-from-the-united-states,President Chun Doo Hwan thanks President Reagan for providing security during his trip to Europe.,US Embassy Seoul,,,United States Department of State,
"Letter from President Chun to President Reagan, replying to President Reagan's letter of March 28th",letter-from-president-chun-to-president-reagan-replying-to-president-reagans-letter-of-march-28th,The Embassy of ROK passes on a letter to the U.S. State Department with President Chunï¿½s reply to President Reagan regarding limitations to nuclear testing.,Republic of Korea,,,South Korea,
Letter from the DPRK Foreign Minister to the President of the Security Council condemning Team Spirit 86,letter-from-the-dprk-foreign-minister-to-the-president-of-the-security-council-condemning-team-spirit-86,DPRK condemned the US-ROK joint military exercises as ï¿½recklessï¿½ actions and a ï¿½test nuclear war.ï¿½ DPRK stated that ROK invitations to observe the joint military exercises could not be viewed seriously by the DPRK. They also stated that the US and ROK should directly shoulder the blame for the suspension of inter-Korean dialogue as a result of their threatening actions.,United Nations,,,United Nations Archives,
Letter from the ROK Permanent Observer to the President of the Security Council condemning the Soviet statement on KAL 007,letter-from-the-rok-permanent-observer-to-the-president-of-the-security-council-condemning-the-soviet-statement-on-kal-007,ROK responded to the statements made by Soviet Union representatives regarding the Korean Airline 007 shot down in Soviet Airspace. The ROK denied that the airline was on an intelligence gathering mission and claimed the Soviet Union had not taken sufficient measures to identify or warn the aircraft before shooting. The ROK also stated that the Soviet Unionï¿½s handling of the shooting prevented investigators ability to find and reveal the truth of the incident.,United Nations,,,United Nations Archives,
